date_of_data,provider_type,frequency,percent,source
2021-02-11,Corrections Facility,3045,0.79,NMSIIS
2021-02-11,FQHC,22745,5.93,NMSIIS
2021-02-11,Hospital,68281,17.79,NMSIIS
2021-02-11,Hospital Birthing Unit,6425,1.67,NMSIIS
2021-02-11,Indian Health,32127,8.37,NMSIIS
2021-02-11,New Mexico Doh,2790,0.73,NMSIIS
2021-02-11,Null,18061,4.71,NMSIIS
2021-02-11,Nursing And Long Term Care,369,0.10,NMSIIS
2021-02-11,OB Gyn,1,0.00,NMSIIS
2021-02-11,Other,41272,10.75,NMSIIS
2021-02-11,Pharmacy,55583,14.48,NMSIIS
2021-02-11,Private Practice,61501,16.02,NMSIIS
2021-02-11,Public Clinic Non Health Dept,11150,2.90,NMSIIS
2021-02-11,Public Health Dept,60487,15.76,NMSIIS
2021-02-11,School Based HC,5,0.00,NMSIIS
