date_of_data,provider_desc,clinic_desc,vaccination_date,practice_type,distinct_patient_count,source
2021-02-10,ACUTE CARE HOUSE CALLS,ACUTE CARE HOUSE CALLS,2/10/21,PRIVATE PRACTICE,36,New Mexico Department of Health
2021-02-10,ADVANCED MEDICATION SYSTEMS,ADVANCED MEDICATION SYSTEMS,2/10/21,PRIVATE PRACTICE,68,New Mexico Department of Health
2021-02-10,ALAMO NAVAJO HEALTH CENTER: MAGDALENA,ALAMO NAVAJO HEALTH CENTER: MAGDALENA,2/10/21,INDIAN HEALTH,19,New Mexico Department of Health
2021-02-10,ALAMO NAVAJO HEALTH CENTER: MAGDALENA,ALAMO NAVAJO HEALTH CENTER: MAGDALENA,2/10/21,INDIAN HEALTH,5,New Mexico Department of Health
2021-02-10,ALBERTSONS MARKET PHARMACY-CARLSBAD-687,ALBERTSONS-CARLSBAD-687,2/10/21,PHARMACY,31,New Mexico Department of Health
2021-02-10,ALBERTSONS MARKET PHARMACY-HOBBS-680,ALBERTSONS-HOBBS-680,2/10/21,PHARMACY,16,New Mexico Department of Health
2021-02-10,ALBERTSONS MARKET PHARMACY-ROSWELL 691,ALBERTSONS-2ND ST-691,2/10/21,PHARMACY,11,New Mexico Department of Health
2021-02-10,ALBERTSONS MARKET PHARMACY-ROSWELL SMS-690,ALBERTSONS-ROSWELL-690,2/10/21,PHARMACY,17,New Mexico Department of Health
2021-02-10,ALTA VISTA REGIONAL HOSPTIAL,ALTA VISTA REGIONAL HOSPITAL,2/10/21,HOSPITAL,299,New Mexico Department of Health
2021-02-10,ATHENA HEALTH,HOLY CROSS HOSPITAL PHARMACY,2/10/21,HOSPITAL,335,New Mexico Department of Health
2021-02-10,ATHENA HEALTH,SAN JUAN MEDICAL GROUP,2/10/21,PRIVATE PRACTICE,30,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: ALAMOGORDO,BAHC-ALAMOGORDO,2/10/21,FQHC,11,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: COLUMBUS,BAHC-COLUMBUS,2/10/21,FQHC,9,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: DEMING,BAHC-DEMING,2/10/21,PUBLIC CLINIC/NON HEALTH DEPT,10,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: DONA ANA THORPE ROAD,BAHC-LAS CRUCES-THORPE,2/10/21,FQHC,30,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: EAST LAS CRUCES,BAHC-EAST LAS CRUCES,2/10/21,FQHC,10,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: HATCH,BAHC-HATCH,2/10/21,FQHC,11,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: LAS CRUCES MOTEL BLVD,BAHC-LAS CRUCES,2/10/21,PUBLIC CLINIC/NON HEALTH DEPT,10,New Mexico Department of Health
2021-02-10,BEN ARCHER HEALTH CENTER: RADIUM SPRINGS,BAHC-RADIUM SPRINGS,2/10/21,FQHC,20,New Mexico Department of Health
2021-02-10,CHS: UNION COUNTY HOSPITAL,CHS: UNION COUNTY HOSPITAL,2/10/21,HOSPITAL,23,New Mexico Department of Health
2021-02-10,CLINICA LA ESPERANZA,CLINICA LA ESPERANZA,2/10/21,PRIVATE PRACTICE,20,New Mexico Department of Health
2021-02-10,CLOVIS FAMILY HEALTHCARE,CLOVIS FAMILY HEALTHCARE,2/10/21,PRIVATE PRACTICE,10,New Mexico Department of Health
2021-02-10,COLLEGE CLINICS PEDIATRICS,COLLEGE CLINICS PEDIATRICS,2/10/21,PRIVATE PRACTICE,571,New Mexico Department of Health
2021-02-10,COVENANT HEALTH HOBBS,COVENANT HEALTH HOBBS(LEA REGIONAL),2/10/21,HOSPITAL: BIRTHING UNIT,10,New Mexico Department of Health
2021-02-10,DE BACA FAMILY PRACTICE CLINIC,DE BACA FAMILY PRACTICE CLINIC,2/10/21,FQHC,22,New Mexico Department of Health
2021-02-10,DURAN CENTRAL PHARMACY,DURAN CENTRAL PHARMACY,2/10/21,PHARMACY,66,New Mexico Department of Health
2021-02-10,EASTERN NM MEDICAL CENTER,EASTERN NM MEDICAL CENTER,2/10/21,HOSPITAL,159,New Mexico Department of Health
2021-02-10,EL CENTRO FAMILY HEALTH,ECFH-ESPANOLA,2/10/21,FQHC,29,New Mexico Department of Health
2021-02-10,EL CENTRO FAMILY HEALTH,ECFH-LAS VEGAS,2/10/21,FQHC,76,New Mexico Department of Health
2021-02-10,EL CENTRO FAMILY HEALTH,ECFH-TAOS CLINIC,2/10/21,FQHC,20,New Mexico Department of Health
2021-02-10,EL PUEBLO FAMILY HEALTH CENTER,EL PUEBLO FAMILY HEALTH CENTER,2/10/21,FQHC,21,New Mexico Department of Health
2021-02-10,FIRST CHOICE COMMUNITY HEALTH: BELEN,FIRST CHOICE- BELEN,2/10/21,FQHC,9,New Mexico Department of Health
2021-02-10,FIRST CHOICE COMMUNITY HEALTH: LOS LUNAS,FIRST CHOICE - LOS LUNAS,2/10/21,FQHC,1,New Mexico Department of Health
2021-02-10,FIRST CHOICE COMMUNITY HEALTH: SOUTH VALLEY,FIRST CHOICE- MAIN SOUTH VALLEY,2/10/21,FQHC,63,New Mexico Department of Health
2021-02-10,FIRST CHOICE COMMUNITY HEALTHCARE: NORTH VALLEY,FIRST CHOICE - NORTH VALLEY,2/10/21,FQHC,20,New Mexico Department of Health
2021-02-10,FOOTHILLS MEDICAL CENTER,FOOTHILLS MEDICAL CENTER,2/10/21,PRIVATE PRACTICE,20,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-ACL SERVICE UNIT,2/10/21,INDIAN HEALTH,1,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-ALBUQUERQUE INDIAN HEALTH CTR,2/10/21,INDIAN HEALTH,1,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-ISLETA HEALTH CENTER,2/10/21,INDIAN HEALTH,65,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-MESCALERO SERVICE UNIT,2/10/21,INDIAN HEALTH,114,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-PINE HILL HEALTH CENTER,2/10/21,INDIAN HEALTH,21,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-PUEBLO OF SANDIA HEALTH CTR,2/10/21,INDIAN HEALTH,2,New Mexico Department of Health
2021-02-10,INDIAN HEALTH SERVICE,IHS-SANTO DOMINGO HEALTH CTR,2/10/21,INDIAN HEALTH,174,New Mexico Department of Health
2021-02-10,KARE DRUG-AZTEC,KARE DRUG-AZTEC,2/10/21,PHARMACY,20,New Mexico Department of Health
2021-02-10,KARE DRUG-BLOOMFIELD,KARE DRUG-BLOOMFIELD,2/10/21,PHARMACY,20,New Mexico Department of Health
2021-02-10,LA CASA DE BUENA SALUD,LA CASA FAMILY HEALTH,2/10/21,PUBLIC CLINIC/NON HEALTH DEPT,10,New Mexico Department of Health
2021-02-10,LA CASA DE BUENA SALUD: PORTALES,LCDBS: PORTALES,2/10/21,FQHC,20,New Mexico Department of Health
